id,sentiment
6270596,1
9274899,0
8544678,0
6825595,1
6723715,0
7898805,1
6315043,0
6097171,0
8932678,0
6242223,0
7462111,1
8425305,0
6900881,1
9629375,0
9037756,0
10268521,0
2968565,1
10107726,0
6406912,0
4174028,0
9305768,1
6829990,0
9727606,1
1385942,1
9504429,0
9952932,0
9844172,0
4022078,1
9029890,0
9541056,1
1418173,1
9567197,1
9251651,0
9573525,0
6017377,0
1018831,1
6484287,0
9523155,1
9985937,0
5017089,0
9910232,0
4585328,0
362781,0
9417015,0
8615279,0
657926,1
7799381,0
7789587,1
9757343,1
9886140,0
5936280,0
6342609,1
9933994,0
8183204,1
2590934,1
2077221,1
7208743,0
7926036,0
5543759,1
6335957,1
9745015,0
8582196,0
5347773,1
5494222,1
250638,0
8724656,0
10196806,1
9868290,1
9690650,1
6386772,1
10235375,0
8518278,0
3914112,0
9270169,0
8666222,0
10107299,1
8366483,1
8912109,1
2854944,0
5840383,0
8771808,0
8365806,1
10018785,0
8069783,1
2541728,1
9648521,1
9911421,1
3608055,0
9308174,1
7530635,0
9912932,0
9992247,0
7957461,0
552155,1
4663025,0
6753658,0
9665771,1
8757576,0
9850643,0
9985753,1
1449086,0
3775927,0
7444391,1
8730650,1
8703366,1
8974196,0
5916807,1
159788,1
1677284,1
9224872,1
8363292,0
9341404,1
8576972,1
9701446,1
3442231,1
8142288,0
6910486,0
8609968,1
7086093,1
5419400,1
4773462,1
3545112,1
361256,1
9501525,1
2357338,0
8606100,1
9840982,0
7299625,1
5445466,0
8824453,1
9416662,0
7497024,1
9337303,0
10060871,1
8821342,1
9232564,0
9628757,1
3830959,1
7037790,1
9815594,1
525303,0
8172041,0
9671580,1
5502072,1
118927,0
7942095,0
3828346,1
10068251,0
8844388,0
530245,1
8893839,1
4409316,0
1141313,1
8878448,1
9193758,1
8445227,1
8009802,0
8377274,0
9109485,1
6284304,0
7677681,0
10266236,1
5878577,0
9663349,0
2983134,0
4875018,0
10154172,1
8764536,0
9954697,1
5356859,0
36164,0
319737,0
142684,1
9233698,1
6915908,0
2988615,0
6039126,1
8641123,0
8204802,0
8524344,1
505501,1
7164339,0
4134743,0
9644499,0
8334994,0
7349090,1
1678402,0
366896,1
3515745,0
6085571,0
1544464,1
6006410,1
6639436,1
10247986,1
8137671,0
9610429,0
7614088,1
775509,1
9876090,0
7415980,0
6358951,0
9243107,1
9324247,1
497590,1
10017929,1
7722415,0
9601304,1
1194223,0
9652869,0
1988039,1
4268419,0
2011700,1
669470,0
7965147,1
8725527,0
6485319,0
5866900,1
6519415,1
7843016,0
1050028,0
7813649,1
8895249,0
5805907,0
7439240,0
58738,0
2300910,1
2516626,1
730253,1
9917567,1
404288,0
5890764,0
7118537,0
9380404,1
9758753,0
5843027,1
6576552,0
502442,0
9956700,1
198155,1
70008,0
175054,0
6344850,1
9936519,1
115954,1
5936750,0
1422708,1
8192266,1
9916393,1
7266781,1
8099614,0
3872118,0
7342578,0
1425938,1
1165634,0
4976468,0
7077368,1
8865961,1
6264678,1
8844030,0
3294238,0
9166594,0
909335,0
9426720,1
7703545,1
8197581,0
8016839,0
6711326,1
6155347,0
5455253,1
7424031,1
10248195,1
5155477,0
8569616,0
9729578,1
7009171,1
9103794,1
8594940,0
9272790,1
5830147,0
9935385,1
322522,1
4947848,0
9326954,1
5837782,0
8514184,0
9847164,0
9349168,1
9456119,1
791996,0
2270292,1
8371187,1
4688930,1
8888611,1
5171680,0
7165384,1
10115420,0
4994879,1
10273899,0
10219378,1
2058813,1
376428,1
10154476,1
6332901,1
7126717,0
4780445,0
1132409,1
9287244,0
9947563,1
5860315,0
689615,0
53765,1
9368057,1
23174,1
10275492,0
9793545,0
9849046,0
8612493,0
9502662,1
7352925,1
2077180,0
9471890,0
4350977,0
7006623,0
10239214,1
2023990,1
7492309,1
1906580,0
2166351,0
510203,0
5732088,0
9451021,1
7937787,0
9055317,1
685384,1
8439973,0
8209873,0
8617274,0
9369854,0
7964604,1
9881559,0
88381,1
9736535,1
9857195,0
9835888,0
2128419,1
7929383,0
5473407,1
9837122,1
8599798,0
7008210,0
7873269,1
2076814,0
10150712,1
9647538,0
5223886,0
10260076,0
674647,1
9089571,1
8835606,0
7616705,1
5939082,1
5915916,1
4886302,1
6310604,1
1947961,1
9317542,1
5431689,0
2602787,0
8846851,1
8817480,1
10035316,0
8961182,1
5856995,1
6037568,0
9390521,1
5140486,1
6524501,1
4851317,1
9691785,0
3828986,1
3983445,1
673746,1
7997045,1
4434607,0
7894913,0
467994,1
4499871,1
10060453,1
5586778,1
7980159,0
9165792,0
9862408,0
9662879,1
4286430,0
4275351,0
10164233,1
7792908,1
671790,0
7484475,0
10036824,1
8365881,1
9145671,0
10012958,0
3306581,0
9192483,1
7612498,0
3653446,0
9649094,1
5440565,0
10081576,0
5802318,0
10167207,1
5282081,0
4947432,1
259893,0
8681398,0
9658426,1
8301705,1
8435710,0
241949,1
10276080,0
7191789,0
8483345,0
3013859,0
9210627,1
3343037,1
5800414,0
7234273,0
3794877,1
6416431,1
4276330,0
8897804,1
6211212,0
6683981,0
768854,1
6044223,0
7698704,1
8905216,0
5542903,0
9906041,0
9563559,1
1185646,0
8919354,0
5436915,0
